Year,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID
2012,HC103,BOC03,AGE05,59
2012,HC103,BOC03,AGE06,59
2012,HC103,BOC03,AGE07,59
2012,HC103,BOC03,AGE08,59
2013,HC103,BOC01,OVR01,59
2013,HC103,BOC02,GEN01,59
2013,HC103,BOC02,GEN02,59
2013,HC103,BOC03,AGE01,59
2013,HC103,BOC03,AGE04,59
2013,HC103,BOC03,AGE05,59
2013,HC103,BOC03,AGE06,59
2013,HC103,BOC03,AGE07,59
2013,HC103,BOC03,AGE08,59
2004,HC201,BOC01,OVR01,59
2004,HC201,BOC02,GEN01,59
2004,HC201,BOC02,GEN02,59
2004,HC201,BOC03,AGE01,59
2004,HC201,BOC03,AGE04,59
2004,HC201,BOC03,AGE05,59
2004,HC201,BOC03,AGE06,59
2004,HC201,BOC03,AGE07,59
2004,HC201,BOC03,AGE08,59
2005,HC201,BOC01,OVR01,59
2005,HC201,BOC02,GEN01,59
2005,HC201,BOC02,GEN02,59
2005,HC201,BOC03,AGE01,59
2005,HC201,BOC03,AGE04,59
2005,HC201,BOC03,AGE05,59
2005,HC201,BOC03,AGE06,59
2005,HC201,BOC03,AGE07,59
2005,HC201,BOC03,AGE08,59
2006,HC201,BOC01,OVR01,59
2006,HC201,BOC02,GEN01,59
2006,HC201,BOC02,GEN02,59
2006,HC201,BOC03,AGE01,59
2006,HC201,BOC03,AGE04,59
2006,HC201,BOC03,AGE05,59
2006,HC201,BOC03,AGE06,59
2006,HC201,BOC03,AGE07,59
2006,HC201,BOC03,AGE08,59
2007,HC201,BOC01,OVR01,59
2007,HC201,BOC02,GEN01,59
2007,HC201,BOC02,GEN02,59
2007,HC201,BOC03,AGE01,59
2007,HC201,BOC03,AGE04,59
2007,HC201,BOC03,AGE05,59
2007,HC201,BOC03,AGE06,59
2007,HC201,BOC03,AGE07,59
2007,HC201,BOC03,AGE08,59
2008,HC201,BOC01,OVR01,59
2008,HC201,BOC02,GEN01,59
2008,HC201,BOC02,GEN02,59
2008,HC201,BOC03,AGE01,59
2008,HC201,BOC03,AGE04,59
2008,HC201,BOC03,AGE05,59
2008,HC201,BOC03,AGE06,59
2008,HC201,BOC03,AGE07,59
2008,HC201,BOC03,AGE08,59
2009,HC201,BOC01,OVR01,59
2009,HC201,BOC02,GEN01,59
2009,HC201,BOC02,GEN02,59
2009,HC201,BOC03,AGE01,59
2009,HC201,BOC03,AGE04,59
2009,HC201,BOC03,AGE05,59
2009,HC201,BOC03,AGE06,59
2009,HC201,BOC03,AGE07,59
2009,HC201,BOC03,AGE08,59
2010,HC201,BOC01,OVR01,59
2010,HC201,BOC02,GEN01,59
2010,HC201,BOC02,GEN02,59
2010,HC201,BOC03,AGE01,59
2010,HC201,BOC03,AGE04,59
2010,HC201,BOC03,AGE05,59
2010,HC201,BOC03,AGE06,59
2010,HC201,BOC03,AGE07,59
2010,HC201,BOC03,AGE08,59
2011,HC201,BOC01,OVR01,59
2011,HC201,BOC02,GEN01,59
2011,HC201,BOC02,GEN02,59
2011,HC201,BOC03,AGE01,59
2011,HC201,BOC03,AGE04,59
